name,system_url
Stadt Köln,https://ratsinformation.stadt-koeln.de/oparl/system
Stadt Bonn,https://www2.bonn.de/bo_ris/oparl
Stadt Aachen,https://ratsinfo.aachen.de/bi/oparl/1.0/system.asp
Stadt Münster,https://www.stadt-muenster.de/sessionnet/sessionnetbi/oparl/bodies.php
Stadt Duisburg,https://sessionnet.krz.de/duisburg/bi/oparl/1.0/system.asp
Stadt Essen,https://ratsinfo.essen.de/ratsinfo/oparl/bodies.asp
Stadt Wuppertal,https://ris.wuppertal.de/oparl/bodies.asp
Stadt Düsseldorf,https://ris.duesseldorf.de/oparl/bodies.asp
Stadt Dortmund,https://dosys01.digistadtdo.de/dosys/oparl/bodies.asp
Stadt Gelsenkirchen,https://sessionnet.krz.de/gelsenkirchen/bi/oparl/1.0/system.asp
Stadt Bochum,https://session.bochum.de/bi/oparl/1.0/system.asp
Stadt Leverkusen,https://ratsinformation.leverkusen.de/oparl/1.0/system.asp
Stadt Krefeld,https://www.sessionnet.krefeld.de/bi/oparl/1.0/system.asp
Stadt Bielefeld,https://sitzungen-ni.bielefeld.de/oparl/bodies.asp
Stadt Hamm,https://session.hamm.de/bi/oparl/1.0/system.asp
Stadt Münster Allris,https://oparl.stadt-muenster.de/system
Stadt Moers,https://ksd-moers.kdvz-frechen.de/sdnetrim/webservice/oparl/v1.1/system
Stadt Bergisch Gladbach,https://sitzungen.stadt-gl.de/sdnet6/webservice/oparl/v1.1/system
Stadt Recklinghausen,https://sdnet.recklinghausen.de/sdnet/webservice/oparl/v1.1/system
Stadt Herne,https://session.herne.de/bi/oparl/1.0/system.asp
Stadt Mülheim an der Ruhr,https://ris.muelheim-ruhr.de/buergerinfo/oparl/bodies.asp
Stadt Solingen,https://ris.solingen.de/buergerinfo/oparl/bodies.asp
Stadt Oberhausen,https://ratsinfo.oberhausen.de/oparl/bodies.asp
Stadt Hagen,https://sdnet.hagen.de/sdnetrim/webservice/oparl/v1.1/system
Stadt Paderborn,https://sitzungsdienst.paderborn.de/bi/oparl/1.0/system.asp
Stadt Neuss,https://ratsinfo.neuss.de/bi/oparl/1.0/system.asp
Stadt Mönchengladbach,https://ratsinfo.moenchengladbach.de/oparl/bodies.asp
Stadt Bottrop,https://session.bottrop.de/bi/oparl/1.0/system.asp
Stadt Remscheid,https://ris.remscheid.de/buergerinfo/oparl/bodies.asp
Stadt Siegen,https://ratsinfo.siegen.de/oparl/bodies.asp
Kreis Viersen,https://www.sitzungsdienst-viersen.de/bi/oparl/1.0/system.asp
Kreis Heinsberg,https://www.sitzungsdienst-heinsberg.de/bi/oparl/1.0/system.asp
Kreis Mettmann,https://sitzungen.kreis-mettmann.de/bi/oparl/1.0/system.asp
Rhein-Erft-Kreis,https://politik-bei-uns.de/api/oparl/1.0/body/373
Kreis Düren,https://sitzungsdienst.kreis-dueren.de/bi/oparl/1.0/system.asp
Rhein-Sieg-Kreis,https://ratsinfo.rhein-sieg-kreis.de/bi/oparl/1.0/system.asp
Kreis Warendorf,https://sitzungsdienst-warendorf.de/bi/oparl/1.0/system.asp
Kreis Lippe,https://sitzungsdienst-lippe.de/bi/oparl/1.0/system.asp
Kreis Gütersloh,https://sessionnet.gtevents.de/guetersloh/bi/oparl/1.0/system.asp
Kreis Soest,https://sitzungsdienst-soest.de/bi/oparl/1.0/system.asp
